Category,Sms
trust,"Nipigie baada ya saa moja, tafadhali."
scam,Naomba unitumie iyo Hela kwenye namba hii ya Airtel 0689933027. jina (PETER NYANGE)
scam,"666,KARIBU FREEMASON UTIMIZE NDOTO KATIKA BIASHARA, KILIMO,UFUGAJI,MACHI MBO,MICHEZO N.K KWAMHITAJI KUJIUNGA PG: 0615810764 AU 0615810764"
trust,Watoto wanapenda sana zawadi ulizowaletea.
scam,"IYO PESA ITUME KWENYE NAMBA HII 0657538690 JINA ITALETA Magomba Maila NIMEAZIMA SIMU KWA WAKALA HAPA LAINI YANGU NATATIZO UPANDE WA KUPOKEA PESA, ASANTE"
scam,Iyo pesa itume humu kwenye AIRTEL 0696530433 jina lije OLIVA MATIAS.
trust,Nashukuru kwa kupokea simu yangu. Tutalifanyia kazi tatizo hili na kurudi kwetu kwa haraka.
scam,"Xorry nipo xafari nina xhida kwel nakuomba unixaidie sh elfu 9 nitakurefund nikifika plx By JUMA SIKAREKO,ni grp member"
trust,"Nimemaliza kufanya mazoezi, sasa ninaenda kupumzika."
scam,"(6,6,6)HABARI EWE MTANZANIA SASA MLANGO UMEFUNGULIWA JIUNGE NAMATAJIRI, BILA KUTOA KAFALA YA BINADAM UTAPEWA MTAJI,ONGEA NA WAKALA WETU:0698945621"
scam,"Xorry nipo xafari nina xhida kwel nakuomba unixaidie sh elfu 9 nitakurefund nikifika plx By RAMATUNGU,ni grp member"
scam,"We need urgently Need Staff salary 4,000,000TZS. Reach HR team at: wa.me/2550657538690."
scam,0755896103 Jina litakuja SALOME KALUNGA Nitumie kwenye hiyo vodacom
scam,FRIIMASON TIMIZA NDOTO KUMILIKI PESA MAJUMBA NA MAGARI YA KIFAHARI PIA KUZA BIASHARA VIPAJI NYOTA NA PETE. TUPIGIE SIMU 0676584303 UKIWA TAYARI KUJIUNGA
scam,Utanitumia kwa hîi Tigo 0698945621 j'ina ni JUMA SIKAREKO.
scam,"Congratulations! Your CV has passed. You can get 170,000TZS in a day. for details: wa.me/2550783654321"
scam,"Tuzo point hongera umepata zawadi Sh170,000 milioni kutoka (Tuzo point) piga sim,.0617488472 kupata zawadi  asante"
trust,Nitapita ofisini kwako saa nane mchana.
scam,"Xorry nipo xafari nina xhida kwel nakuomba unixaidie sh elfu 9 nitakurefund nikifika plx By PETER NYANGE,ni grp member"
trust,Nimetuma pesa kwa namba uliyonipa.
scam,"Xorry nipo xafari nina xhida kwel nakuomba unixaidie sh elfu 9 nitakurefund nikifika plx By SALOME KALUNGA,ni grp member"
scam,Nitumie tu kwenye hii voda 0699137921 jina JUMANNE YASINI MASAKA.
scam,Hela tuma kwa namba hii 0655251448 jina LINUSI MALALO
scam,Utanitumia kwa hîi tigo 0657666983 j'ina ni ABDALLAH MWANAKU.
trust,"Dah, umesikia kuhusu drama ya Aunt Ezekiel na mashabiki wake kwenye Insta Live?"
scam,"Tigo CQGZ Imethibitishwa namba yako ya 078 ... imeshinda Tsh10,000,000.00/=million kutoka TUZO  POINTI ilikupokea Hela yako piga 0787-406-889 Asante"
scam,au iyo ela nitumie kwenye M-Pesa hii 0676584303 Jina litoke 0676584303.
scam,Samahani naomba itume kwenye tigo 0654321098 ABDALLAH MWANAKU.
scam,Utanitumia. kwemye namba 0784862618 ya airtel jina HOSEA MKUMBUKWA.
trust,Chukua maua yako
scam,"KARIBU UJIUNGE NA CHAMA CHA (666)FREE'MASON UBADILISHE MAISHA YAKO.MILIKI MALI,PESA(UTAJIRI) MAJUMBA NA MAGARI BILA KAFALA PIGA 0781476081 au 0781476081"
scam,"IYO PESA ITUME KWENYE NAMBA HII 0783582817 JINA ITALETA PETER NYANGE NIMEAZIMA SIMU KWA WAKALA HAPA LAINI YANGU NATATIZO UPANDE WA KUPOKEA PESA, ASANTE"
scam,MPIGIE MZEE RAMATUNGU WA TIBA ASILI. MALI. PETE. NYOTA. UZAZI. KUPANDISHWA CHEO KAZINI. KULUDISHA MALI ILIYOPOTEA. NAMBA 0747878264
trust,"Tunaweza kuandaa tukio la pamoja mwezi ujao, hebu fikiria wazo hili."
trust,Mashindano ya CAF Champions League mwaka huu yana ushindani mkubwa sana.
scam,HABARI ZAUKO NI MIMI MWENYE NYUMBA WAKO MNA ENDEREAJE APO NYUMBANI IYO NAMBA YANGU MPYA YA Halotel NAKUMBUSHIA KODI YANGU  MANA NAONA KIMYA SANA NAOMBA TUWA SIRIANE
scam,0675259049 Jina litakuja HADIJA LAI Nitumie kwenye hiyo Halotel
scam,0755896103 Jina litakuja KHADIJA SUMBAI Nitumie kwenye hiyo voda
trust,Nasikia Konde Gang wanapanga kufanya tamasha kubwa Dodoma mwaka huu.
scam,Utanitumia kwenye ii 0615810764 Vodacom jina LUKA KIMBANGU namba yangu inadeni usiitumie
scam,"Mpigie Mzee LINUSI MALALO kwa tiba asili miliki mali,utajiri pete,kazi,kesi,masomo mapenzi,kilimo,ufugaji,biashara Piga 0657538690"
scam,Iyo ela tuma humu kwenye tigo 0689592818 Jina lije Magomba Maila.
scam,Au nitumie kwenye HaloPesa Namba.0786543210 jina litakuja SALOME KALUNGA
scam,Utanitumia kwenye ii 0615810764 airtel jina MARIAM NDUGAI namba yangu inadeni usiitumie
trust,"Bro, uliona VAR ilivyoamua ile offside? Nafikiri hawakuwa sahihi."
scam,Iyo Hela itume humu kwenye HALOTEL 0787-406-889 jina lije ABDALLAH MWANAKU.
scam,"IYO PESA ITUME KWENYE NAMBA HII 0786543210 JINA ITALETA RAMATUNGU NIMEAZIMA SIMU KWA WAKALA HAPA LAINI YANGU NATATIZO UPANDE WA KUPOKEA PESA, ASANTE"
scam,MZEE HADIJA LAI tiba asili biashala kazi masomo utajili kesi kuludisha mke&mume piga (0782435667)(0782435667)
scam,Iyo Pesa itume humu kwenye TIGO 0747878264 jina lije JOACHIM KAPUFI.
trust,"Usikate tamaa, kila kitu kitaenda sawa."
trust,"Nimepokea taarifa kuhusu malipo, nafuatilia ili kuhakikisha kila kitu kiko sawa."
trust,Unapenda pizza au chips kuku?
scam,Iyo Pesa itume humu kwenye tigo 0698018072 jina lije HOSEA MKUMBUKWA.
trust,Hiyo stori uliyoniambia jana bado inanishangaza! Hahaha.
trust,Tafadhali nijulishe kama una muda kesho.
scam,Habari za asubuhi. Mimi  mwenye nyumba wako hii namba yangu ya Vodacom. Mbona kimya na siku zinazidi kwenda...?
scam,"Imethibitishwa, namba yako ya 0733822240 imejishindia TSH 1,500,000 kutoka TUZO  POINTI. Piga 0733822240 ili kupokea Pesa yako."
scam,Utanitumia kwa hîi vodacom 0783582817 j'ina ni Magomba Maila.
trust,"Bro, umesikia Bongo Movie Awards mwaka huu wameongeza kipengele cha digital content?"
scam,Iyo Pesa itume humu kwenye Airtel 0675259049 jina lije JENEROZA ROCK BENEDICTO.
scam,"Mpigie Mzee MARIAM NDUGAI kwa tiba asili miliki mali,utajiri pete,kazi,kesi,masomo mapenzi,kilimo,ufugaji,biashara Piga 0675259049"
scam,"Dear, No need to go out work, just at home to earn 4,000,000TZS a day, please contact us: https://wa.me/2550767274553"
scam,"Imethibitishwa, namba yako ya 0657538690 imejishindia TSH 5,000,000 kutoka TUZO  POINTI. Piga 0657538690 ili kupokea hela yako."
trust,Nitakutembelea wiki ijayo na zawadi ndogo kutoka nyumbani.
scam,ela tuma kwa namba hii 0788542784 jina RAMATUNGU
trust,Nitakupigia simu baada ya mkutano wangu.
trust,"Nitakutumia picha za tukio la jana, utazipenda."
scam,TUMIA NAMBA HII (0767274553)KUNITUMIA IYO HELA JINA LITAONYESHA (MARIAM NDUGAI)
scam,Mjukuu wangu ndagu niliyokukabizi hiyo uwe makini na pesa hizo zinazokuja usiogope ndio mafanikio yako si nilikwambia utafanikiwa kwa mda mfupi sasa umeona mwenyewe na siri hiyo usitowe kwa mtu yoyote utajili huo ni mkubwa sana utaweza kuweka miladi ya kira aina popote pale unipigie nikuelekeze.
